area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
hackney,2018/12/31,544640.4167,166.5,2603.916667,35286,7.5,40439,279665,152000,1905,110037,57.8,E09000012
hammersmith and fulham,2011/12/31,518573.75,224.25,1972.916667,36143,7.38,42531,182445,140000,1715,82390,48,E09000013
hammersmith and fulham,2012/12/31,567082,216.3333333,1879.083333,35136,7.21,44065,179850,147000,1715,82861,48.3,E09000013
hammersmith and fulham,2013/12/31,631529.0833,251.0833333,1611.916667,34554,7.4,42349,178685,141000,1715,83281,48.5,E09000013
hammersmith and fulham,2014/12/31,721099.75,239.1666667,1646,33688,7.56,38677,178365,148000,1715,83907,48.9,E09000013
hammersmith and fulham,2015/12/31,760833.75,204,1706.583333,34652,7.68,38176,179410,154000,1715,85267,49.7,E09000013
hammersmith and fulham,2016/12/31,755097.5,183.5833333,1741.583333,35000,7.47,40291,179654,157000,1715,85635,49.9,E09000013
hammersmith and fulham,2017/12/31,756900.4167,179.1666667,1809.833333,36972,7.34,45218,182998,159000,1715,86609,50.5,E09000013
hammersmith and fulham,2018/12/31,725525.3333,185.5833333,1843.916667,40972,7.72,44781,185426,155000,1715,88140,51.4,E09000013
haringey,2011/12/31,326468.25,189.5,2113.083333,28032,7.11,30446,255540,74000,2960,104173,35.2,E09000014
haringey,2012/12/31,339685.9167,203.5833333,2065.583333,29116,7.17,31874,258912,80000,2960,105456,35.6,E09000014
haringey,2013/12/31,372233.6667,222.0833333,1789.583333,29609,7.28,32408,263386,84000,2960,106033,35.8,E09000014
haringey,2014/12/31,435807.8333,243.8333333,1962.416667,30325,7.38,33616,267541,90000,2960,106507,36,E09000014
haringey,2015/12/31,480636.0833,230.4166667,2123.583333,30072,7.26,33919,272864,93000,2960,106640,36,E09000014
haringey,2016/12/31,527676.6667,191,2351.416667,29753,7.56,32799,278451,92000,2960,106879,36.1,E09000014
haringey,2017/12/31,557307.0833,163,2527.583333,31442,7.6,35729,271224,92000,2960,107620,36.4,E09000014
haringey,2018/12/31,551560.6667,170.75,2585.333333,29801,7.35,34178,270624,91000,2960,108820,36.8,E09000014
harrow,2011/12/31,296477.8333,179.6666667,1168.583333,27540,7.31,32342,240499,76000,5046,86524,17.1,E09000015
harrow,2012/12/31,304904.5,188.6666667,1151.5,26738,7.37,31817,242377,79000,5046,86994,17.2,E09000015
harrow,2013/12/31,319397.6667,214.5,1037.333333,25784,7.51,31504,243373,78000,5046,87709,17.4,E09000015
harrow,2014/12/31,360795.8333,233.5833333,1024.916667,26037,7.49,29957,246011,89000,5046,88004,17.4,E09000015
harrow,2015/12/31,408604.5833,258.9166667,1082.416667,26770,7.65,31404,247130,88000,5046,88414,17.5,E09000015
harrow,2016/12/31,453862.3333,197.4166667,1132.75,30134,7.64,34743,248752,93000,5046,89324,17.7,E09000015
